bridge_id,bridge_name,lga,region,state,road_route,route_number,asset_owner,maintenance_authority,condition,condition_rating,posting_status,structure_type,material,clearance_height_m,main_span_m,total_length_m,width_m,no_of_spans,no_of_lanes,latitude,longitude,nhvr_route_assessed,over_mass_route,gazette_reference,aadt,freight_route,flood_impacted,scour_risk,seismic_zone,data_source,source_url,last_updated,data_confidence,notes
NSW_BR_0063,Wyong Bridge,Central Coast Council,Central Coast,NSW,Pacific Motorway,M1,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Concrete Box Girder,Concrete,6,58,185,24,4,6,-33.275,151.422,true,true,NSW Gazette 2022-028,75000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-30,Sourced,M1 motorway widened 2022; excellent condition
NSW_BR_0064,Hornsby Creek Bridge,Hornsby Shire Council,Sydney Metro,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,38,115,14,3,4,-33.703,151.094,true,false,NSW Gazette 2020-071,45000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-25,Sourced,Urban fringe crossing; commuter route
NSW_BR_0065,Windsor Bridge,Hawkesbury City Council,Sydney Metro,NSW,Windsor Road,A9,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Prestressed Concrete Girder,Concrete,6,62,198,16,4,4,-33.6153,150.8168,true,false,NSW Gazette 2020-106,28000,false,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-06-08,Sourced,New Hawkesbury River crossing opened 2020; replaced heritage timber bridge
NSW_BR_0066,Richmond Bridge Hawkesbury,Hawkesbury City Council,Sydney Metro,NSW,Bells Line of Road,B52,Local Council,Local Council,Fair,5,Posted,Steel Truss,Steel,4.6,75,248,8,4,2,-33.599,150.754,false,false,NSW Gazette 2017-042,8500,false,true,High,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-12,Inferred,Old steel truss; flood history; load posted
NSW_BR_0067,Campbelltown Nepean Bridge,Campbelltown City Council,Sydney Metro,NSW,Narellan Road,B55,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,28,82,16,3,4,-34.066,150.813,true,false,NSW Gazette 2019-034,42000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-03-10,Sourced,South-west Sydney growth area; adequate condition
NSW_BR_0068,Picton Road Bridge,Wollondilly Shire,Southern Highlands,NSW,Picton Road,C229,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Prestressed Concrete Girder,Concrete,5,36,108,10,3,2,-34.178,150.622,false,false,,7200,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-25,Inferred,Southern Highlands access road; moderate traffic
NSW_BR_0069,Moss Vale Bridge,Wingecarribee Shire Council,Southern Highlands,NSW,Illawarra Highway,A48,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,4.8,26,76,10,3,2,-34.55,150.377,false,false,,9400,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-05,Sourced,Southern Highlands; residential and tourist traffic
NSW_BR_0070,Goulburn Bridge,Goulburn Mulwaree Council,South East,NSW,Hume Highway,A79,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,50,160,14,4,4,-34.755,149.719,true,true,NSW Gazette 2020-062,15000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-22,Sourced,Wollondilly River; Hume Highway interstate freight
NSW_BR_0071,Yass Bridge,Yass Valley Council,South East,NSW,Hume Highway,A79,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,45,142,14,3,4,-34.842,148.911,true,true,NSW Gazette 2019-096,14200,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-01,Sourced,Yass River crossing; Hume Highway
NSW_BR_0072,Temora Bridge,Temora Shire Council,Riverina,NSW,Olympic Highway,B94,Transport for NSW,Transport for NSW,Fair,5,Posted,Concrete Slab,Concrete,4.6,24,72,9,3,2,-34.449,147.535,false,false,NSW Gazette 2018-066,4600,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-18,Sourced,Agricultural region; grain transport route
NSW_BR_0073,Deniliquin Bridge,Edward River Council,Riverina,NSW,Cobb Highway,B58,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,4.8,65,212,10,4,2,-35.531,144.965,true,false,NSW Gazette 2017-081,5800,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-12,Sourced,Edward River crossing; Murray irrigation area
NSW_BR_0074,Hay Bridge,Hay Shire Council,Riverina,NSW,Sturt Highway,A20,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,62,198,12,4,2,-34.5275,144.845,true,true,NSW Gazette 2019-068,4200,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-08,Sourced,Murrumbidgee River crossing; remote flat plains
NSW_BR_0075,West Wyalong Bridge,Bland Shire Council,Riverina,NSW,Mid Western Highway,B55,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,4.8,22,65,10,3,2,-33.928,147.207,true,false,,4800,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-20,Sourced,Mid-western plains; gold rush heritage town
NSW_BR_0076,Condobolin Bridge,Lachlan Shire Council,Central West,NSW,Mid Western Highway,B55,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Plate Girder,Steel,4.8,55,175,8,4,2,-33.087,147.148,false,false,NSW Gazette 2016-044,3900,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-08,Sourced,Lachlan River; aging steel girder; posted
NSW_BR_0077,Nyngan Bridge,Bogan Shire Council,Western NSW,NSW,Mitchell Highway,A32,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,48,152,10,3,2,-31.558,147.197,true,true,NSW Gazette 2018-048,4100,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-08,Sourced,Bogan River; historic flood town 1990; over-mass freight
NSW_BR_0078,Gilgandra Bridge,Gilgandra Shire Council,Central West,NSW,Castlereagh Highway,A33,Transport for NSW,Transport for NSW,Fair,5,Posted,Timber Girder,Timber,4.2,16,62,6.5,4,1,-31.714,148.656,false,false,NSW Gazette 2019-112,2800,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-14,Inferred,Castlereagh River; old timber; posted for HML
NSW_BR_0079,Gunnedah Bridge,Gunnedah Shire Council,North West,NSW,Oxley Highway,A34,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,52,165,12,4,2,-30.981,150.254,true,true,NSW Gazette 2019-044,8600,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-22,Sourced,Namoi River crossing; coal and cotton region
NSW_BR_0080,Coonabarabran Bridge,Warrumbungle Shire Council,North West,NSW,Oxley Highway,A34,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Concrete Slab,Concrete,4.8,28,82,10,3,2,-31.271,149.277,true,false,,4200,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-28,Sourced,Castlereagh River; near Warrumbungle NP
NSW_BR_0081,Lightning Ridge Bridge,Lightning Ridge Council,North West,NSW,Castlereagh Highway,A33,Transport for NSW,Transport for NSW,Poor,4,Load Limited,Timber Girder,Timber,3.9,14,52,5.5,4,1,-29.431,147.979,false,false,NSW Gazette 2020-088,1500,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-08-20,Estimated,Remote opal mining area; old timber; load limited
NSW_BR_0082,Tibooburra Crossing,Broken Hill City Council,Western NSW,NSW,Tibooburra Road,C576,Local Council,Local Council,Poor,3,Load Limited,Concrete Slab,Concrete,4,16,42,6,3,1,-29.434,142.014,false,false,,500,false,true,High,1,OpenStreetMap (fallback),https://www.openstreetmap.org,2023-06-15,Estimated,Remote outback; minimal inspection data; coordinates estimated
NSW_BR_0083,Menindee Bridge,Central Darling Shire Council,Western NSW,NSW,Menindee Road,C577,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Plate Girder,Steel,4.8,55,175,8,4,2,-32.393,142.412,false,false,NSW Gazette 2017-095,1200,false,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-09-28,Inferred,Darling River near Menindee Lakes; remote; flood risk
NSW_BR_0084,Wilcannia Bridge,Central Darling Shire Council,Western NSW,NSW,Barrier Highway,A32,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Truss,Steel,4.6,80,265,7.5,4,2,-31.559,143.372,true,false,NSW Gazette 2015-062,2400,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-10-15,Sourced,Darling River; heritage steel truss; flood events frequent
NSW_BR_0085,Ivanhoe Bridge,Wentworth Shire Council,Western NSW,NSW,Cobb Highway,B58,Transport for NSW,Transport for NSW,Poor,4,Load Limited,Timber Girder,Timber,3.8,14,46,5.5,3,1,-32.894,144.297,false,false,NSW Gazette 2021-075,1100,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-07-10,Estimated,Remote far-west; old timber deck; urgent replacement needed
NSW_BR_0086,Wentworth Bridge,Wentworth Shire Council,Western NSW,NSW,Sturt Highway,A20,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,68,218,12,4,2,-34.105,141.912,true,true,NSW Gazette 2018-074,3600,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-05,Sourced,Murray-Darling junction; interstate freight to SA
NSW_BR_0087,Corowa Bridge,Federation Council,Riverina,NSW,Federation Way,B72,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Steel Plate Girder,Steel,5,72,240,10,4,2,-35.992,146.383,true,false,NSW Gazette 2018-032,4800,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-28,Sourced,Murray River NSW/VIC border crossing
NSW_BR_0088,Tocumwal Bridge,Berrigan Shire Council,Riverina,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,58,185,12,4,2,-35.816,145.563,true,true,NSW Gazette 2020-050,5500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-15,Sourced,Murray River border; Newell Highway freight to Melbourne
NSW_BR_0089,Moama Bridge,Murray River Council,Riverina,NSW,Cobb Highway,B58,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Cable Stayed,Composite,6.5,155,382,18,3,4,-36.111,144.755,true,true,NSW Gazette 2022-043,18000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-06-10,Sourced,New cable-stayed Murray River crossing; opened 2021; excellent condition
NSW_BR_0090,Tumbarumba Bridge,Snowy Valleys Council,Riverina,NSW,Tooma Road,C548,Local Council,Local Council,Fair,5,Posted,Timber Girder,Timber,4,12,38,5.5,3,1,-35.78,148.004,false,false,,1800,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-08-05,Estimated,Rural timber bridge; local council maintained
NSW_BR_0091,Jindabyne Bridge,Snowy Monaro Regional Council,South East,NSW,Snowy Mountains Highway,B72,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,55,175,12,4,2,-36.41,148.62,false,false,NSW Gazette 2018-082,6800,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-15,Sourced,Snowy Mountains gateway; Snowy River crossing
NSW_BR_0092,Eden Bridge,Bega Valley Shire Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,28,85,10,3,2,-37.064,149.905,true,false,,5400,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-15,Sourced,Southernmost NSW coastal town; port access
NSW_BR_0093,Narooma Bridge,Eurobodalla Shire Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Concrete Box Girder,Concrete,5.5,50,158,12,4,2,-36.218,150.135,true,false,NSW Gazette 2020-025,7600,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-05,Sourced,Wagonga Inlet crossing; tourist coastal bridge
NSW_BR_0094,Moruya Bridge,Eurobodalla Shire Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,4.8,65,215,9,4,2,-35.905,150.083,true,false,NSW Gazette 2016-068,8900,true,false,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-28,Sourced,Moruya River; aging steel structure
NSW_BR_0095,Ulladulla Bridge,Shoalhaven City Council,South East,NSW,Princes Highway,A1,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,30,90,12,3,2,-35.362,150.476,true,false,,10500,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-10,Sourced,Deua River at Ulladulla; tourist and fishing destination
NSW_BR_0096,Kempsey Bridge,Kempsey Shire Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,62,198,16,4,4,-31.084,152.835,true,true,NSW Gazette 2021-048,24000,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-05,Sourced,Macleay River; flood-prone valley; Pacific Highway
NSW_BR_0097,Nambucca Heads Bridge,Nambucca Valley Council,North Coast,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Prestressed Concrete Girder,Concrete,5.8,55,175,16,4,4,-30.644,152.99,true,true,NSW Gazette 2022-018,22000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-12,Sourced,Nambucca River; new bypass bridge; excellent condition
NSW_BR_0098,Bellingen Bridge,Bellingen Shire Council,North Coast,NSW,Waterfall Way,B78,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Truss,Steel,4.5,92,298,8,4,2,-30.447,152.899,false,false,NSW Gazette 2017-058,4800,false,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-02-18,Sourced,Bellinger River; heritage steel truss; flood prone
NSW_BR_0099,Dorrigo Bridge,Bellingen Shire Council,North Coast,NSW,Waterfall Way,B78,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,28,82,10,3,2,-30.337,152.716,false,false,,3200,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-10,Sourced,Escarpment access; Dorrigo National Park gateway
NSW_BR_0100,Uralla Bridge,Uralla Shire Council,New England,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,38,115,10,3,2,-30.643,151.492,true,false,,6800,true,false,Low,2,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-08,Sourced,New England Tablelands; bushrangers heritage
NSW_BR_0101,Walcha Bridge,Walcha Council,New England,NSW,Oxley Highway,A34,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,36,108,10,3,2,-30.988,151.598,true,false,,3800,true,false,Low,2,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-20,Inferred,Apsley River; New England cattle country
NSW_BR_0102,Quirindi Bridge,Liverpool Plains Shire Council,New England,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Concrete Slab,Concrete,4.8,26,76,12,3,2,-31.506,150.689,true,true,NSW Gazette 2019-037,8200,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-28,Sourced,Liverpool Plains; wheat and cotton farming region
NSW_BR_0103,Manilla Bridge,Tamworth Regional Council,New England,NSW,Manilla Road,B53,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Concrete Slab,Concrete,4.8,24,72,8,3,2,-30.746,150.724,false,false,,3400,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-08,Inferred,Namoi River tributary; semi-rural community access
NSW_BR_0104,Wee Waa Bridge,Narrabri Shire Council,North West,NSW,Newell Highway,A39,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,44,140,10,3,2,-30.228,149.433,true,false,NSW Gazette 2018-058,4500,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-15,Sourced,Namoi River; cotton growing region; flood risk
NSW_BR_0105,Collarenebri Bridge,Walgett Shire Council,North West,NSW,Gwydir Highway,A39,Transport for NSW,Transport for NSW,Poor,4,Load Limited,Timber Girder,Timber,4,15,55,6,4,1,-29.547,148.575,false,false,NSW Gazette 2021-095,1600,false,true,High,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-08-25,Estimated,Barwon River; remote; timber deck deterioration; load limited
NSW_BR_0106,Mungindi Bridge,Moree Plains Shire Council,North West,NSW,Carnarvon Highway,A38,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Steel Plate Girder,Steel,5,58,188,8,4,2,-28.974,148.721,true,false,NSW Gazette 2016-072,2200,true,true,High,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-10-10,Sourced,NSW/QLD border; Barwon-Darling system; flood risk
NSW_BR_0107,Tenterfield Railway Viaduct,Tenterfield Shire Council,New England,NSW,Tenterfield Road,B76,Local Council,Local Council,Fair,5,Posted,Reinforced Concrete Arch,Concrete,5.5,42,165,8,5,2,-29.051,152.002,false,false,NSW Gazette 2018-091,4200,false,false,Low,2,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-18,Inferred,Heritage concrete arch viaduct; near QLD border
NSW_BR_0108,Murrurundi Bridge,Upper Hunter Shire Council,Hunter,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,40,122,10,3,2,-31.765,150.838,true,false,,6500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-22,Sourced,Pages River crossing; Liverpool Ranges
NSW_BR_0109,Scone Bridge,Upper Hunter Shire Council,Hunter,NSW,New England Highway,A15,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,44,138,12,3,2,-32.068,150.862,true,true,NSW Gazette 2020-038,9800,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-20,Sourced,Hunter River headwaters; horse breeding capital
NSW_BR_0110,Dungog Bridge,Dungog Shire Council,Hunter,NSW,Clarence Town Road,B63,Local Council,Local Council,Fair,5,Posted,Concrete Slab,Concrete,4.6,22,65,8,3,2,-32.4,151.709,false,false,,4500,false,true,Medium,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-02,Inferred,Williams River; flood damage 2022; local council maintained
NSW_BR_0111,Gloucester Bridge,MidCoast Council,Hunter,NSW,Bucketts Way,B65,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,40,122,10,3,2,-32.001,151.966,false,false,,5600,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-25,Sourced,Barrington River; alpine foothills
NSW_BR_0112,Cessnock Wine Country Bridge,Cessnock City Council,Hunter,NSW,Wine Country Drive,B65,Local Council,Local Council,Good,7,Unrestricted,Composite Girder,Composite,5,32,96,10,3,2,-32.835,151.299,false,false,,7800,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-05,Sourced,Hunter Valley wine region; tourist traffic
NSW_BR_0113,Lake Macquarie Bridge,Lake Macquarie City Council,Hunter,NSW,Pacific Highway,A1,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.8,55,178,16,4,4,-33.098,151.628,true,false,NSW Gazette 2020-083,38000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-04-18,Sourced,Swansea Channel crossing; Pacific Highway
NSW_BR_0114,Swansea Bridge,Lake Macquarie City Council,Hunter,NSW,Swansea Road,B64,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Concrete Box Girder,Concrete,6,65,205,14,4,4,-33.072,151.647,true,false,NSW Gazette 2022-035,25000,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-08,Sourced,Lake Macquarie estuary; new structure 2021; excellent condition
NSW_BR_0115,Albury-Wodonga Ring Road Bridge,Albury City Council,Riverina,NSW,Murray Valley Highway,B400,Transport for NSW,Transport for NSW,Good,9,Unrestricted,Prestressed Concrete Girder,Concrete,5.8,60,190,18,4,4,-36.056,146.938,true,true,NSW Gazette 2022-052,22000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-05-25,Sourced,Border freight bypass; Murray River; new structure 2022
NSW_BR_0116,Culcairn Bridge,Greater Hume Shire Council,Riverina,NSW,Olympic Highway,B94,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Concrete Slab,Concrete,4.8,24,72,10,3,2,-35.67,147.04,true,false,,3900,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-10,Sourced,Billabong Creek; agricultural rural area
NSW_BR_0117,Holbrook Bridge,Greater Hume Shire Council,Riverina,NSW,Hume Highway,A79,Transport for NSW,Transport for NSW,Good,8,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,48,150,14,3,4,-35.724,147.312,true,true,NSW Gazette 2019-054,9500,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-22,Sourced,Hume Highway; submarine replica town; interstate freight
NSW_BR_0118,Tumut Blowering Bridge,Snowy Valleys Council,Riverina,NSW,Snowy Mountains Highway,B72,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.5,52,162,10,3,2,-35.505,148.182,false,false,,4200,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-25,Inferred,Tumut River near Blowering Dam
NSW_BR_0119,Bombala Bridge,Snowy Monaro Regional Council,South East,NSW,Monaro Highway,A23,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,28,84,10,3,2,-36.909,149.241,false,false,,2800,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-02,Sourced,Bombala River; high altitude; near Vic border
NSW_BR_0120,Delegate Bridge,Snowy Monaro Regional Council,South East,NSW,Imlay Road,C542,Local Council,Local Council,Fair,5,Posted,Timber Girder,Timber,4,14,42,5.5,3,1,-37.05,148.958,false,false,,1200,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-07-20,Estimated,Remote alpine area; old timber; near NSW/VIC border
NSW_BR_0121,Mudgee Bridge,Mid-Western Regional Council,Central West,NSW,Castlereagh Highway,A33,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5.2,46,145,12,3,2,-32.596,149.587,true,false,NSW Gazette 2019-049,11000,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-15,Sourced,Cudgegong River; wine region; agricultural
NSW_BR_0122,Rylstone Bridge,Mid-Western Regional Council,Central West,NSW,Castlereagh Highway,A33,Transport for NSW,Transport for NSW,Fair,5,Posted,Steel Plate Girder,Steel,4.6,48,152,8,4,2,-32.803,149.965,false,false,NSW Gazette 2017-063,4100,false,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-11-28,Sourced,Cudgegong River; aging steel girder; posted
NSW_BR_0123,Oberon Bridge,Oberon Council,Central West,NSW,Abercrombie Road,B54,Local Council,Local Council,Good,7,Unrestricted,Concrete Slab,Concrete,4.8,22,65,8,3,2,-33.704,149.86,false,false,,4800,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-12,Inferred,Abercrombie River; high altitude farming area
NSW_BR_0124,Cowra Bridge,Cowra Shire Council,Central West,NSW,Mid Western Highway,B55,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Prestressed Concrete Girder,Concrete,5,50,158,12,4,2,-33.837,148.684,true,false,NSW Gazette 2019-062,8600,true,true,Medium,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2024-01-08,Sourced,Lachlan River; WW2 POW camp heritage town
NSW_BR_0125,Grenfell Bridge,Weddin Shire Council,Central West,NSW,Henry Lawson Way,B55,Transport for NSW,Transport for NSW,Fair,6,Unrestricted,Concrete Slab,Concrete,4.6,22,66,8,3,2,-33.867,148.161,false,false,,3200,false,false,Low,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-10-08,Inferred,Henry Lawson birthplace area; rural central west
NSW_BR_0126,Blayney Bridge,Blayney Shire Council,Central West,NSW,Mid Western Highway,B55,Transport for NSW,Transport for NSW,Good,7,Unrestricted,Concrete Slab,Concrete,5,24,72,10,3,2,-33.532,149.256,true,false,NSW Gazette 2018-043,6800,true,false,Low,1,Transport for NSW Open Data,https://data.nsw.gov.au/data/dataset/nsw-bridge-register,2023-12-18,Sourced,Belubula River; copper mining history
NSW_BR_0127,Canowindra Bridge,Cabonne Council,Central West,NSW,Eugowra Road,C264,Local Council,Local Council,Fair,5,Posted,Steel Plate Girder,Steel,4.6,42,132,7.5,3,2,-33.565,148.663,false,false,NSW Gazette 2017-076,3400,false,true,Medium,1,NSW Spatial SEED,https://portal.seed.nsw.gov.au/SeedMap/,2023-09-22,Inferred,Belubula River; balloon festival town; flood risk
